,title,headline
249,How to Get a Shy Guy to Like You in Middle School,"##STEP##Get to know him better.,##STEP##Do things for yourself.,##STEP##Be flirty.,##STEP##Hug.,##STEP##Don't wear too much make-up.,##STEP##Don't change yourself for a guy.,##STEP##Kiss.,##STEP##Be playful.,##STEP##Flirt.,##STEP##DON'T try to make him jealous.,##STEP##Hang out with his friends.,##STEP##Keep eye contact.,##STEP##Mirror him.,##STEP##Be honest with him.,##STEP##Tease him.,##STEP##Break the touch barrier.,##STEP##Get him to laugh.,##STEP##Be nice."
250,How to Get Guys to Notice You2,"##STEP##Introduce yourself.,##STEP##Use social media to your advantage.,##STEP##Develop a friendship first."
251,How to Get Guys to Notice You3,"##STEP##Read the signs.,##STEP##Invite him along on a group activity, ideally with a mixed group of guys and girls.,##STEP##Don't be afraid to ask him out.,##STEP##Be patient.,##STEP##Know when to move on."
252,How to Get a Hot Guy Neighbor to Notice You,"##STEP##Say ""hi"".,##STEP##Find ways to be around him.,##STEP##Make him look your way.,##STEP##Acknowledge him.,##STEP##Have deeper conversations.,##STEP##Look over at him a couple times.,##STEP##Be cool when he talks to you."
253,How to Get a Guy to Always Want to Talk to You1,"##STEP##Make a funny or playful observation to break the ice.,##STEP##Show him that you are enjoying yourself in conversation.,##STEP##Be confident in who you are, and enjoy yourself in his company.,##STEP##Hang out with other people who bring out the best version of you with him.,##STEP##Follow him on social media.,##STEP##Post things on your social media.,##STEP##Comment on his posts.,##STEP##Move on if he doesn’t seem interested in you."
254,How to Get a Guy to Always Want to Talk to You2,"##STEP##Ask him his opinions on things that you have in common.,##STEP##Playfully disagree and banter with him.,##STEP##Avoid asking him questions he already knows the answer to.,##STEP##Boost his confidence.,##STEP##Learn how and when to end a conversation.,##STEP##Follow up with texts or messages regularly."
255,How to Get a Guy to Always Want to Talk to You3,"##STEP##Do side by side activities with him.,##STEP##Get to know about his interests and the important relationships in his life.,##STEP##Find a quiet place for a conversation where you won’t be interrupted.,##STEP##Express yourself back to him.,##STEP##Be there during hard times as a confidant.,##STEP##Ask him for help."
256,How to Get a Boy to Like You (Teens),"##STEP##Smile.,##STEP##Be funny.,##STEP##Be clean and healthy.,##STEP##Try to be cool and popular.,##STEP##Dress nicely.,##STEP##Know your best features.,##STEP##Be confident.,##STEP##Forgive and forget, don't remind!,##STEP##When you're trying to get a guy to like you, you shouldn't act jealous, that's a major turn off.,##STEP##Never feel that you need to change for a guy!"
257,How to Get a Guy to Notice You at School1,"##STEP##Feel good about how you look.,##STEP##Take pride in your strengths.,##STEP##Practice positive self-talk.,##STEP##Write down daily affirmations.,##STEP##Hold your head high."
258,How to Get a Boy's Phone Number in Middle School1,"##STEP##Use inviting body language.,##STEP##Smile.,##STEP##Be confident in yourself.,##STEP##Make eye contact.,##STEP##Start a conversation with him."
259,How to Forget About the Guy You Like,"##STEP##Embrace your feelings for him, then let them go.,##STEP##Talk about your feelings with a friend, a relative, or a counselor.,##STEP##Remind yourself that this crush is just another fish in the sea.,##STEP##Learn from the experience.,##STEP##Avoid him for a while.,##STEP##Keep conversations to a minimum, for a while.,##STEP##Stop checking his social media profiles for updates.,##STEP##Get rid of things that remind you of him.,##STEP##Focus on what's important in your life.,##STEP##Take some time to center yourself before pursuing another guy.,##STEP##Learn how to interact with the guy on a platonic level."
260,How to Get a Guy to Notice You at School2,"##STEP##Walk by him in the hall.,##STEP##Try to catch his eye.,##STEP##Find a reason to talk to him.,##STEP##Wear something fun."
261,How to Get a Guy to Notice You at School3,"##STEP##Make strong eye contact.,##STEP##Keep conversations light.,##STEP##Use touch.,##STEP##Just go for it."
262,How to Get a Boy's Phone Number in Middle School2,"##STEP##Approach him with confidence.,##STEP##Plan what you're going to say.,##STEP##Give him your number.,##STEP##Write him a note."
263,How to Get a Boy's Phone Number in Middle School3,"##STEP##Use common cell phone issues to your advantage.,##STEP##Use school as an excuse.,##STEP##Invite him to a group event, and make a quick exit."
264,How to Get a Shy Guy,"##STEP##Casually approach him and strike up a small conversation.,##STEP##Get in contact with him on a social network.,##STEP##Attempt to talk to him a few times a week.,##STEP##Gauge his feelings and drop hints that you like him.,##STEP##Make physical contact after awhile, but be sure he's okay with it.,##STEP##Ask him out.,##STEP##Keep the date simple if he agrees.,##STEP##Every person has an ego.,##STEP##Let him feel competent by having him help you with something.,##STEP##Be genuinely interested in him.,##STEP##Be approachable and attractive, but not so stunning and loud as to draw him away.,##STEP##Throw a small party and invite a few people you know he'll be comfortable with."
265,How to Form a Relationship with Your Crush (for Girls),"##STEP##Stop trying to deny you like him.,##STEP##Look at yourself and reflect on your personality.,##STEP##Talk to him.,##STEP##Create a Friendship.,##STEP##Mutual Friendships: With this step, make sure you don't ditch any of your current friends you have now.,##STEP##Keep on working on it.,##STEP##Accept or Reject, Yay or Nay.,##STEP##Results may vary: So now you may or may not be in a relationship depending on if you learn if your crush does or does not return your feelings."
266,How to Focus On School and Not the Boys,"##STEP##Set long term goals for the school year.,##STEP##Set short term goals.,##STEP##Think about your top priorities and know what's important at this time in your life.##STEP####STEP##,##STEP##Think about how doing well in school will help you further on in finding a college and just living life and how life will be so much easier if you work hard now and finish what you have to finish.##STEP####STEP##,##STEP##Stay organized.##STEP####STEP##,##STEP##Keep yourself busy.,##STEP##Set aside time to be social and hang out with the guys.,##STEP##You might have to try self restrictions by telling yourself that you are not going talk to the guys until you get your work done or unless you are on top of things in school.##STEP####STEP##,##STEP##Remember: A girl who is able to keep on top of her work and manage her time well generally looks good to a guy and can be impressive.##STEP####STEP##,##STEP##Focus on the tasks at hand think about how other people like your family would want you to do well in school.##STEP####STEP##"
267,How to Deal With Your Crush when He Knows You Like Him1,"##STEP##Don't stop talking to him about ""everyday"" things.,##STEP##Try not to fixate on the situation all the time.,##STEP##Don't stress out about who he's talking to.,##STEP##Remember that he, too, is probably nervous."
268,How to Choose Between Two Guys,"##STEP##Consider the positive qualities of each guy.,##STEP##Consider how each guy makes you feel.,##STEP##Consider the negative qualities of the guy.,##STEP##Consider how each guy feels about you.,##STEP##Ask your trusted friends for their opinions.,##STEP##Weigh their similarities and differences in a list.,##STEP##Trust your gut.,##STEP##Don't rush it.,##STEP##Commit to the guy you've chosen.,##STEP##Be prepared for the aftermath.,##STEP##Accept your decision."
269,How to Find an Excuse to Talk to Your Crush (for Girls),"##STEP##If he's reading a book or listening to a song that you don't know about, ask him about it.,##STEP##Just be around him when he isn't around his friends.,##STEP##Ask him to help you with something.,##STEP##'Accidentally' bump into him.,##STEP##Compliment him and then ask him for advice on something.,##STEP##Drop your pencil and ask him (politely) to pick it up or if they wouldn't mind sharpening it for you."
270,How to Deal With Your Crush when He Knows You Like Him2,"##STEP##Decide whether you will admit your crush.,##STEP##If you want to come clean to your crush, don't put it off.,##STEP##Keep things casual.,##STEP##Don't be put off by his shyness.,##STEP##Accept his decision (even if it's ""no"")."
271,How to Dress Around Your Crush,"##STEP##See how he dresses.,##STEP##Select a color.,##STEP##Stay in your price range.,##STEP##Choose a shirt.,##STEP##Pick out a pair of pants.,##STEP##Select a pair of shoes.,##STEP##Add some accessories.,##STEP##Wear makeup.,##STEP##Be appropriate.,But through all of this make sure to still be yourself and be comfortable, confident and positive about what you wear."
272,How to Find Out if He Is for Real,"##STEP##When you first met this boy, what was your initial vibe?,##STEP##Don't be ""creepy nosy,"" but just think about his Myspace or stuff laying around in his room.,##STEP##Have you heard people talk about him, whether it be good or bad.,##STEP##How many ex-girlfriends has he had?,##STEP##How does he act around you opposed to his friends or family?,##STEP##Ask yourself, ""Could I stand this person being with someone else"".##STEP####STEP##"
273,How to Catch Your Crush's Eye (for Girls Only),"##STEP##Make sure you have an outfit that you like ready the night before, or else you might end up wearing an outfit that you hate.,##STEP##Wake up 1 1/2 to 2 hours before you normally wake up.,##STEP##Get out your robe, clothes, and have a shower.,##STEP##After you are all clean and fresh, wash your face.,##STEP##Brush your hair and then take out a magazine.,##STEP##Eat breakfast.,##STEP##Brush your teeth EXTREMELY well.,##STEP##Put on your makeup.,##STEP##Lastly, don't forget the deodorant."
274,How to Decipher the Gestures and Quirks of a Guy Who Likes You,"##STEP##Watch for the following indicators:##STEP####STEP####STEP##He blurts out random, rapid words or phrases when you speak to him."
275,How to Catch a Guys Attention when Passing Him at School,"##STEP##Make a subtle change about yourself, not too much, or else he will probably think you're fake.,##STEP##Make yourself smell good.,##STEP##Be flirty.,##STEP##Make sure to walk near him.,##STEP##Get close to his friends.,##STEP##Don't have too big of an ego.,##STEP##Smile and sound happy.,##STEP##Walk with style.,##STEP##Be yourself."
276,How to Figure out a Boy's Interests,"##STEP##Have a look at the friends he keeps.,##STEP##Get to know his friends better, or at least one of his close friends.,##STEP##Try to make friends with his sister or brother.,##STEP##Take a look at the way he dresses.,##STEP##Take the same classes he does.,##STEP##Offer to be his partner in a class group project.,##STEP##Try to sit by him at lunch.,##STEP##Check out whether he has Facebook, Twitter, Instagram etc.,##STEP##Check out the posts he makes and what he likes and comments on.,##STEP##Check out the area where he writes a bit about himself.,##STEP##Tell him about a party you are want to have and ask his advice on what he thinks would make a party the greatest.,##STEP##Arrange a webcam conversation with him."
277,How to Catch a Guy's Attention,"##STEP##Be positive, but do not fake it.,##STEP##Look nice.,##STEP##Take care of your hair.,##STEP##Talk to his friends.,##STEP##Make him laugh.,##STEP##Don't be creepy.,##STEP##Don't act fake.,##STEP##Be cute.,##STEP##Be confident.,##STEP##Don't over think it... just be yourself.,##STEP##Know your values and stick to them."
278,How to Calm Your Nerves Around the Guy You Like1,"##STEP##Breathe!,##STEP##Concentrate on him.,##STEP##Calm yourself with music.If you have music handy and it seems natural to play it, great!,##STEP##Make an “okay” sign with your fingers.,##STEP##Move your feet."
279,How to Calm Your Nerves Around the Guy You Like2,"##STEP##Just go for it.,##STEP##Open with something casual.,##STEP##Look at him.,##STEP##Make him talk about himself at first.,##STEP##Offer your own insights.,##STEP##Keep the tone light."
280,How to Calm Your Nerves Around the Guy You Like3,"##STEP##Be confident in your looks.,##STEP##Think positively.,##STEP##Keep your mind open to all possibilities.,##STEP##Stay open-minded afterward, too."
281,How to Become Friends With a Guy You Have a Huge Crush On,"##STEP##Sit beside him and generally talk.,##STEP##Become friends on Facebook, you both have Facebook, in all likelihood, so find him and send a friend request.,##STEP##Plan your route so you unexpectedly bump into him can be a great opportunity to talk again, however make it look realistic and don't do it all the time or he will think you're stalking him!##STEP####STEP##,##STEP##Smile!,##STEP##Talk hobbies!,##STEP##Get his mobile/cell phone number.,##STEP##Cinema trip!"
282,How to Be Confident Around Your Crush1,"##STEP##Be yourself.,##STEP##Look your best, but don't obsess over your looks.,##STEP##Use confident body language.,##STEP##Think of him as an ordinary person (not an idol).,##STEP##Don't over-think things."
283,How to Be Confident Around Your Crush2,"##STEP##Flirt a little to test the waters.,##STEP##Spend a little time with each other before you make any decisions.,##STEP##Be direct with your intentions, but keep things casual.,##STEP##Don't put too much weight in your crush's reply."
284,How to Be Interesting in Front of Your Crush (for Girls),"##STEP##Find your strengths.,##STEP##Spruce up your look.,##STEP##Find what looks best for your hair: guys love when a girl's hair is flirtatious or pretty.,##STEP##Invest in a scent that suits you, such as a flowery perfume or rugged-scented cologne.##STEP####STEP##,##STEP##Less is more.,##STEP##Dress the way you feel, but to attract the male attention, try to stick on an outfit which extenuates your curves but not too revealing otherwise they will get the wrong idea!##STEP####STEP##,##STEP##Keep a casual handbag to put with everyday outfits, if you see this guy daily; don't drag around a rucksack, you want to look like a lady!,##STEP##Keep a smile on.,##STEP##Show the person your real beauty show what you are.,##STEP##Remember, beauty is not everything.,##STEP##Along with looks, you need to learn few more steps like don't give too much attention to him.,##STEP##Talk intelligently with him.,##STEP##Most important of all, love yourself and be confident in whatever you do.##STEP####STEP##,##STEP##Do some of the things he likes doing.,##STEP##Find out what he likes.,##STEP##Have a good attitude around him.,##STEP##Don't try to sound like you're bragging or exaggerating when having a conversation.,##STEP##Make sure that you keep in touch with all of your friends and have conversations with them when your crush is in the room.,##STEP##Remember, the most important thing is not trying to impress him.,##STEP##Show him one of your talents, like playing the guitar, singing or maybe dancing.,##STEP##Read fashion magazines like Teen Vogue or Cosmo Girl, but be careful, because they may not always give good advice, so think before following them.,##STEP##Don't be afraid to be yourself.,##STEP##For a sweet sexy pin up girl look, invest in black liquid eyeliner, matching skin foundation with a matte finish, red lipstick, and peachy blusher.,##STEP##Prep the eye for the eyeliner with some nude eyeshadow, then glide your eyeliner from the inner corner of the eye outwards to the end, then a small upward/straight flick.##STEP####STEP##,##STEP##Use peach blusher, or a liquid blusher to highlight the cheekbones and create good facial structure.##STEP####STEP##,##STEP##Then prep your lips with lip balm, following with a lip brush to use with a rouge lipstick.##STEP####STEP##,Skin matching foundation, clear lip gloss with a non stick feel, peach/pinkish blusher and mascara, preferably non clumpy mascara, recommended bourgeois ""elastic mascara""##STEP####STEP##,##STEP##For a very natural beauty:##STEP####STEP####STEP##Apply moisturizer leaving it to set in for 5 minutes, then blend the foundation evenly over the face."
285,How to Attract the Guy You Have a Crush On1,"##STEP##Be friendly.,##STEP##Find common ground.,##STEP##Get to know him better.,##STEP##Be playful."
286,How to Attract an Older Boy,"##STEP##Ask yourself why you want an older boyfriend.,##STEP##Make sure you want a relationship for the right reasons.A relationship should be pursued because you feel a legitimate connection with the other person.,##STEP##Consider how an age gap might affect a relationship.,##STEP##Prepare yourself for criticism.If there is a significant age gap between you and the guy you're with, there are a number of problems you should prepare to deal with that you wouldn't normally have to think about.,##STEP##Be his friend first.,##STEP##Let him take the lead.,##STEP##Treat him as an equal.,##STEP##Hold his gaze.Eye contact is a very powerful part of body language, and it's especially important in terms of flirting.,##STEP##Smile at him.Smiling is a universal language for warm feelings and affection.,##STEP##Offer compliments.,##STEP##Make sure he respects your boundaries.,##STEP##Start hanging out with older people.,##STEP##Follow through with whatever you say you're going to do.Reliability is a hallmark of any truly mature person.,##STEP##Be proud of who you are.,##STEP##Keep a journal.Keeping track of your daily thoughts and feelings in a journal is a great path to self-discovery.,##STEP##Get past jealousy.,##STEP##Avoid social cliques and drama.,##STEP##Try a new hairstyle.,##STEP##Dress to suit his age range's fashion sense.,##STEP##Keep your makeup light.,##STEP##Keep your posture confident.Regardless of your gender or age, posture is an important way of expressing confidence and making yourself look attractive to anyone around you."
287,How to Attract the Guy You Have a Crush On2,"##STEP##Flirt with him.,##STEP##Avoid always talking about yourself.,##STEP##Laugh at his jokes.,##STEP##Hang out at his favorite places."
288,How to Attract the Guy You Have a Crush On3,"##STEP##Keep your hair healthy.,##STEP##Practice good hygiene.,##STEP##Be yourself."
289,How to Be Friends with the Guy You Like,"##STEP##Get to know a friend of the boy you like.,##STEP##Smile and say ""Hi"" whenever you see him.,##STEP##Flirt often.,##STEP##Get him to notice you.,##STEP##Be honest.,##STEP##Be a good friend.,##STEP##Ask him out after at least a month of being friends."
290,How to Avoid Being Desperate (Girls)1,"##STEP##Realize that being single is okay.,##STEP##Quit making jokes about being single.,##STEP##Improve other aspects of your life."
291,How to Avoid Being Desperate (Girls)2,"##STEP##Be confident.,##STEP##Limit your drinking.,##STEP##Keep your emotional baggage in check.,##STEP##Know when it is time to go."
292,How to Avoid Being Desperate (Girls)3,"##STEP##Avoid being a social media stalker.,##STEP##Let the relationship progress naturally.,##STEP##Spend time with your friends.,##STEP##Do not be clingy."
293,How to Attract a Skater Guy,"##STEP##Talk to his friends.,##STEP##Show interest in what he does.,##STEP##Learn about skateboarding.,##STEP##Hang out where he hangs out.,##STEP##Introduce yourself.,##STEP##Ask him questions.,##STEP##Be an active listener.,##STEP##Let your positivity shine.,##STEP##Embrace your playfulness and be adventurous.,##STEP##Wear functional clothes that make you feel confident.,##STEP##Be yourself.,##STEP##Try skateboarding."
294,How to Befriend Your Crush (for Girls),"##STEP##Be ready.,##STEP##Just do it.,##STEP##Even a compliment is fine, guys like being complimented.,##STEP##Pay attention to the conversation.,##STEP##Ask him to hang out.,##STEP##In class, make sure to sit next to him."
295,How to Attract a Bad Boy,"##STEP##Make eye contact — and then break it.,##STEP##Stand out to him.,##STEP##Don’t be intimidated.,##STEP##Do your own thing.,##STEP##Ignore him a little bit.,##STEP##Play hard to get.,##STEP##Keep your friends out of it.,##STEP##Wow him with your confidence.,##STEP##Take charge.,##STEP##Be tough.,##STEP##Challenge him.,##STEP##Don’t try to be a bad girl if you’re not.,##STEP##Avoid showing off.,##STEP##Don’t try to change him.,##STEP##Have fun while it lasts.,##STEP##Make sure he’s not abusive.,##STEP##Don’t let him boss you around.,##STEP##Don’t put pressure on him.,##STEP##Don’t be jealous or possessive.,##STEP##If it doesn’t work, don’t underestimate the nice guys."
296,How to Use Body Language to Keep a Guy Wanting More,"##STEP##Communicate with your eyes.,##STEP##Raise your eyebrows just the tiniest bit whenever he smiles, nods, winks, etc.,##STEP##Look down and flutter your eyelashes a little.,##STEP##Push your tongue against the skin below your bottom teeth.,##STEP##When your eyes meet with his, move your shoulder forward slightly and then let it drop.,##STEP##Once you've glanced at him quickly, look away and continue on with whatever you were doing.,##STEP##Get close.,##STEP##Involve your hair.,##STEP##Remember to be yourself."
297,How to Ask Your Crush to Be Your Valentine1,"##STEP##Create a handmade card.,##STEP##Write a simple message.,##STEP##Sign your card.,##STEP##Give the card to your crush."
298,How to Ask Your Crush to Be Your Valentine2,"##STEP##Give your crush candy.,##STEP##Make your crush a mix CD or special Spotify playlist.,##STEP##Bake them cookies.,##STEP##Bring them a stuffed animal."
299,How to Ask Your Crush to Be Your Valentine3,"##STEP##Wait for a good opportunity.,##STEP##Pull your crush aside.,##STEP##Go for it.,##STEP##Send a text or instant message."
300,How to Approach the Guy You Like,"##STEP##Make sure he knows who you are.,##STEP##Look your best.,##STEP##Introduce yourself.,##STEP##Compliment him.,##STEP##Make flirtatious eye contact.,##STEP##Smile.,##STEP##Say “hi.” This is another example of something that may be easier said than done.,##STEP##Like or “friend” him on social media.,##STEP##Make a statement.,##STEP##Make sure he’s available.,##STEP##Do something nice for him.,##STEP##Be direct.,##STEP##Write him a note.,##STEP##Send a text or online message.,##STEP##Invite him to an event."
301,How to Tell a Guy You Love Him1,"##STEP##Wait for a time when he feels happy and secure.,##STEP##Find a quiet, private location to talk.,##STEP##Keep it simple and from the heart.,##STEP##Close your eyes, take a deep breath, and say ""I love you."",##STEP##Tell him how your feel over distance with a thoughtful letter or phone call."
302,How to Tell a Guy You Love Him2,"##STEP##Find time once a day to tell or show him your love.,##STEP##Find ways to tell him without saying the words.,##STEP##Give him space and free time.,##STEP##Talk openly and honestly when you're upset-- even loving couples fight.,##STEP##Tell your partner you love them whenever you feel love, not because you feel obligated."
303,How to Tell a Guy You Love Him3,"##STEP##Make it clear that you don’t demand to hear it back.,##STEP##Sit and listen to him after you've said your piece.,##STEP##Give him time and space to think.,##STEP##Continue treating him like a friend, no matter what his response, to help the relationship grow.,##STEP##Respect his decision or response without argument."
304,How to Tell a Guy You Love Him4,"##STEP##Ask yourself why you wanted to say ""I love you."",##STEP##Spend time together talking, hanging out, and being romantic.,##STEP##Talk to trusted mutual friends if you are unsure whether he is a friend or something more.,##STEP##Make sure he knows that you like him before you tell him you love him.,##STEP##Let your love wash over you for a few days before making a move.,##STEP##Considering letting him say it first."
305,How to Tell if a Girl in Your Class Likes You (High School),"##STEP##When she walks into the room and sees you she may look down as if someone said ""you have a stain on your shirt"" and she is trying to find the stain.,##STEP##If you sit next to her in class see if she glances at you.,##STEP##If she has made any note of you she'll most likely play hard to get sometimes like hardly looking at you but when she does she blushes,smiles,etc.##STEP####STEP##,##STEP##Depending on how shy she is, when she stares at you, she will either pull away very quickly or hold your gaze.,##STEP##Does she casually touch your arm while you are talking?,##STEP##Does she love to hang around with you as compared to other guys?,##STEP##Ask her friends about her crush.,##STEP##Does she include you in all her planned events?,##STEP##Well, now if she is your best friend then these signs will be normal.,##STEP##Does she compliment you?,##STEP##Does she defend you?"
306,How to Tell if a Girl Likes You in School,"##STEP##Be yourself.,##STEP##Ask her about herself.,##STEP##Ask her a simple question.,##STEP##She'll start random conversations with you.,##STEP##If she walks by you and doesn't look at you or acknowledge you, it may be because she wants you to think she isn't interested.,##STEP##Does she pay attention to you?,##STEP##Say something random to her.,##STEP##Make sure to be nice to her.,##STEP##If her friends look at her and then you, or whenever you are talking to her, her friends give looks at you and raise their eyebrows, this is also a good sign, and if somebody says she likes you, chances are she told them because she was hoping you would find out.,##STEP##If you sit diagonal from her in class, her knees or shoulders will be pointed towards you.,##STEP##If you are sitting beside her and she has her legs crossed over and her crossed over leg is towards you this may mean that she is comfortable in your company and likes to talk to you.##STEP####STEP##,##STEP##If you're sitting behind her, she will lean back on her chair, and try to get your attention (for example, copying your habits) and will look for ways to turn around and look at you (passing an assignment back, she'll turn around and look at you).##STEP####STEP##,##STEP##Another sign that you can tell if a girl likes you is if she smiles every time you come and talk to her.##STEP####STEP##,##STEP##Ask her out and see what she says.,##STEP##If you like her, give her hints on Snapchat or Facebook, say.,##STEP##If the girl is online, chat with her a bit, then tell her you have to go.,##STEP##Notice her movements.,##STEP##Pay attention to whether she changes her posture when you enter the class.,##STEP##Here's a great hint that she likes you.,##STEP##Notice when you tease her.,##STEP##Don't talk to her best friend obsessively, as this could hint that maybe you like her best friend and that is not a good sign!,##STEP##When you're in the hallway, try to walk a couple of steps in front of her.,##STEP##If you talk to her in class and she's quiet and quick speaking, but you talk to her on the phone or something and she's all loud and not nervous, she may like you.##STEP####STEP##,##STEP##Notice when she sits by you in class.,##STEP##Get up a few times in class.,##STEP##If she looks at you and doesn't say anything, then she is waiting for you to say something to start the conversation or give a simple sign to let her know that you notice her, like a wave and smile.,##STEP##If you both have Facebook accounts or something similar and she starts chatting with you within five minutes of your arrival online, and this happens a few times, this is a good sign.,##STEP##If you have known her for a long time, then if she likes you, she will start to change her behavior, unconsciously or consciously.,##STEP##If you are friends and she goes to you with all her problems, it shows she trusts you and wants you to be part of her life.,##STEP##If you play an online game and she is your friend on the game, she might start sending you a lot of presents.,##STEP##If you make her laugh and she puts her head on your shoulder and puts her hand over yours there is a good chance she likes you.##STEP####STEP##,##STEP##If she is slouching forward with her head in her arms, or her hair is concealing her face, pay attention to which way her chair angles, and which way her face is pointing.,##STEP##If you are in lunch and she stares at you from time to time maybe smiling from here to there, she is probably into you.,##STEP##Check to see if she's flirting.,##STEP##Note!,##STEP##Tease her a little, but not too much.,##STEP##Get to know her very well then ask her out but don't say, ""Do you like me?"",##STEP##Help her out and do stuff with her!,##STEP##She stares at you.,##STEP##If you like her, but you're not sure if she likes you back, go to one of her best friends and have them ask her who she likes."
307,How to Tell if a Girl Likes You Even Though She Already Has a Boyfriend1,"##STEP##Notice the touch barrier.,##STEP##Watch her body language.,##STEP##Notice her eye contact.,##STEP##Pay attention to how she acts around her boyfriend."
308,How to Tell if a Girl Likes You Even Though She Already Has a Boyfriend2,"##STEP##Notice her sense of humor.,##STEP##Think about what she talks to you about.,##STEP##Pay attention when she talks about her boyfriend.,##STEP##Notice when she talks to you.,##STEP##Look at your messages."
309,How to Tell if a Girl Likes You Even Though She Already Has a Boyfriend3,"##STEP##Figure out your intentions.,##STEP##Flirt with her.,##STEP##Bring up that you are interested.,##STEP##Back off if you need to."
310,How to Ask Your Crush for Their Cell Phone Number1,
311,How to Tell a Girl You Like Her over Text,"##STEP##Get to know your crush a bit.,##STEP##Hang out in person.,##STEP##Figure out if she likes you.,##STEP##Get your crush’s number.,##STEP##Start with a brief greeting.,##STEP##Text with good spelling and grammar.,##STEP##Text in the evening.,##STEP##Text when you know she won’t be busy.,##STEP##Steer the conversation in a positive direction.,##STEP##Revisit topics you’ve discussed before.,##STEP##Give a sincere compliment.,##STEP##Don’t over-text.,##STEP##Plan what you want to say.,##STEP##Tell her you enjoy spending time together.,##STEP##Tell her that you like her.,##STEP##Ask her out."
312,How to Ask Your Crush for Their Cell Phone Number2,"##STEP##Start a conversation with your crush five minutes before your class is about to end.,##STEP##A minute or so before the bell rings, look at the clock and say, ""Oh man, class is almost over!,##STEP##If he refuses, just casually shake it off and say, ""Oh, okay.,##STEP##If he says yes and gives it to you, then don't go crazy right there."
313,How to Ask Your Crush for Their Cell Phone Number3,"##STEP##Go up to your crush and just ask him for his number, saying something like, ""Hey, I was going through my contacts last night, and I realized that I don't have your number!"""
314,How to Ask Your Crush for Their Cell Phone Number4,"##STEP##Once again, if he says no, just shake it off and keep going."
315,How to Ask Your Crush for Their Cell Phone Number5,"##STEP##Go up to him and say: ""I don't want to use a cheap line, like 'I lost my phone, can I borrow yours?',##STEP##Or...!"
316,How to Act Around Guys,"##STEP##Find common ground.,##STEP##Be yourself instead of someone else.,##STEP##Dress in a way that makes you comfortable.,##STEP##Be friendly — to everyone.,##STEP##Show a real interest in them.,##STEP##Wow them with your confidence.,##STEP##Talk about the things that actually interest you.,##STEP##Know when you should change the subject.,##STEP##Compliment them.,##STEP##Ask them questions.,##STEP##Be okay with poking fun at yourself.,##STEP##Don’t act like a girly girl if that’s not who you are.,##STEP##Don’t get your girlfriends to talk to guys for you.,##STEP##Don’t laugh at everything.,##STEP##Don’t try to show off.,##STEP##Don’t make fun of other girls."
317,How to Tell if a Girl Has a Crush on You1,"##STEP##Try to catch her staring at you.,##STEP##See if she blushes around you -- a lot.,##STEP##See if she giggles a lot around you.,##STEP##See how her friends act when she passes by.,##STEP##See if she looks for excuses to hang out.,##STEP##See if she pays more attention to her looks around you.,##STEP##Notice her body language.,##STEP##See how she acts around other guys."
318,How to Tell a Girl You Love Her when You Are Not Sure She Loves You Back,"##STEP##Build your romantic relationship.,##STEP##Don’t allow fear to paralyze you.,##STEP##Be honest about your feelings.,##STEP##Don’t try to read her mind.,##STEP##Stay positive.,##STEP##Choose the right time and place.,##STEP##Be aware of your body language and how you carry yourself around her.,##STEP##Find out more about her and her friends.,##STEP##Understand that men are more likely to say “I love you” first.,##STEP##Let your actions speak louder than your words.,##STEP##Communicate respectfully and openly.,##STEP##Be aware that the word love can carry different emotional context for different people.,##STEP##Prepare for any obstacles.,##STEP##Maintain your composure.,##STEP##Respect her reaction.,##STEP##Celebrate your maturity and fortitude.,##STEP##Continue to build your relationship.,##STEP##Know when to walk away from a friendship."
319,How to Tell if a Girl Has a Crush on You2,"##STEP##See if she teases you.,##STEP##Notice if she compliments you.,##STEP##See if she looks for every excuse to talk to you.,##STEP##Notice if she asks if you like anyone.,##STEP##Notice what she says about any girls you hang out with.,##STEP##See if she hints that she wants a boyfriend.,##STEP##See what she says about other guys.,##STEP##See if she calls or texts you a lot."
320,How to Tell if a Girl Has a Crush on You3,"##STEP##Ask your friends.,##STEP##Ask her friends.,##STEP##Ask her."
321,How to Tell a Girl You Like Her,"##STEP##Get to know her as a friend before ""making a move."",##STEP##Build a relationship off of common interests, finding common interests to bring your together as a couple.,##STEP##Keep clean and well dressed to both look and feel confident.,##STEP##Smile, keep your head up, and pull your shoulders back to exude confidence.,##STEP##Stay calm, even if you're nervous, by slowly counting to three in your head before talking or responding.,##STEP##Think about what you want to say ahead of time, but keep it brief.,##STEP##Wait to tell her until the two of you are alone and she is in a good, stress-free mood.,##STEP##Talk to her in person instead of through text, the internet, or a phone call.,##STEP##Know that an open, honest discussion is far more important than any big surprise.,##STEP##Look at her in the eyes.,##STEP##Just come out and say it!,##STEP##Let her respond on her own instead of asking for a response.,##STEP##Have a game plan.,##STEP##Flirt with her through eye-contact, light touching, and smiles.,##STEP##Don't try to rush through things.,##STEP##Continue building the relationship as friends first, and a couple second.,##STEP##Know that you did everything in your power, and be proud of your courage.,##STEP##Understand that arguing or getting angry fixes nothing in this situation.,##STEP##Give her some space for a few weeks.,##STEP##Be open to other opportunities."
